id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0535,match_19_sbu_vs_2wfc,San Beda University,right,Corner,19,Kirvy Tabelin,CAM,3564,2,4695.935,56.0,false,96.77,6,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:26:04+02:00
evt_0536,match_19_sbu_vs_2wfc,San Beda University,right,Pass,19,Kirvy Tabelin,CAM,3564,2,4695.578667,0.0,true,96.02,5.63,false,defensive third,Successful,Cross,Cross,,91.27,48.76,defensive third,Forward Pass,True,,true,,,,,,,,,2025-10-25T06:28:13+02:00
evt_0537,match_19_sbu_vs_2wfc,San Beda University,right,Shot,20,Laurence Fernandez,LWB,3566,2,4697.56876,2.0,true,90.77,50.63,false,defensive third,Goal,Left Foot,,,,,,,,,true,,,,,,,,,2025-10-25T06:28:42+02:00
evt_0538,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,98,,0,3704,2,4835.286522,138.0,true,50.02,49.88,true,middle third,Successful,Short,Short,,61.02,45.38,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:29:44+02:00
evt_0539,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,106,,0,3709,2,4840.193746,5.0,true,61.02,46.88,true,middle third,Unsuccessful,Long,Long,,26.02,21,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:30:15+02:00
evt_0540,match_19_sbu_vs_2wfc,San Beda University,right,Recovery,23,Sam Salingay,ST,3711,2,4843.120743,2.0,false,52.27,51.76,false,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:30:27+02:00
evt_0541,match_19_sbu_vs_2wfc,San Beda University,right,Pass,23,Sam Salingay,ST,3714,2,4845.766255,3.0,true,45.77,53.63,true,middle third,Successful,Short,Short,,29.27,63.38,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:30:38+02:00
evt_0542,match_19_sbu_vs_2wfc,San Beda University,right,Pass,15,Jul Aningalan,CB,3719,2,4850.790273,5.0,true,28.77,60.01,true,middle third,Successful,Short,Short,,25.52,32.26,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:30:51+02:00
evt_0543,match_19_sbu_vs_2wfc,San Beda University,right,Pass,41,Diegocarl Digal,CB,3720,2,4852.158408,1.0,true,27.52,24.75,true,middle third,Successful,Short,Short,,35.77,34.13,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:31:04+02:00
evt_0544,match_19_sbu_vs_2wfc,San Beda University,right,Dribble,42,Harvy Barro,CDM,3724,2,4855.564852,4.0,true,38.52,30,true,middle third,Successful,,,,,,,,,,true,,,,,,,,,2025-10-25T06:31:16+02:00
