id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0214,match_17_sbu_vs_sin,San Beda University,right,Shot,18,"Pineda, Jaryl",CAM,1049,1,1307.285948,0.0,true,19.94,45.01,true,attacking third,Off Target,Left Foot,,,,,,,,Left Foot,true,,,,,,,,,2025-11-06T09:47:22+00:00
evt_0215,match_17_sbu_vs_sin,San Beda University,right,Shot,19,"Tabelin, Kirvy",CAM,1186,1,1444.16205,137.0,true,21.94,60.76,true,attacking third,Goal,Right Foot,,,,,,,,Right Foot,true,,,,,,,,,2025-11-06T09:48:17+00:00
evt_0216,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,50,Unnamed,,1221,1,1479.082358,35.0,true,48.94,48.76,false,middle third,Successful,Short,Short,Unnamed,37.19,39.01,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:48:53+00:00
evt_0217,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,57,Unnamed,,1224,1,1481.411844,3.0,true,33.69,31.13,false,defensive third,Successful,Short,Short,Unnamed,34.69,53.63,defensive third,Lateral Pass,False,,true,,,,,,,,,2025-11-06T09:49:05+00:00
evt_0218,match_17_sbu_vs_sin,Siniloan Blues,left,Dribble,55,Unnamed,,1227,1,1484.59419,3.0,true,38.94,54.01,false,defensive third,Successful,,,,,,,,,,true,,,,,,,,,2025-11-06T09:49:17+00:00
evt_0219,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,55,Unnamed,,1227,1,1484.720019,0.0,true,43.69,44.63,false,middle third,Successful,Short,Short,Unnamed,41.94,29.25,middle third,Lateral Pass,False,,true,,,,,,,,,2025-11-06T09:49:37+00:00
evt_0220,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,57,Unnamed,,1230,1,1487.352575,3.0,true,40.69,41.63,false,middle third,Successful,Short,Short,Unnamed,39.69,11.63,defensive third,Lateral Pass,False,,true,,,,,,,,,2025-11-06T09:50:10+00:00
evt_0221,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,49,Unnamed,,1233,1,1490.781076,3.0,true,41.44,8.63,false,middle third,Successful,Short,Short,Unnamed,27.69,22.5,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:50:24+00:00
evt_0222,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,58,Unnamed,,1235,1,1493.189621,2.0,true,36.44,17.63,false,defensive third,Successful,Short,Short,Unnamed,44.19,5.25,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:50:45+00:00
evt_0223,match_17_sbu_vs_sin,San Beda University,right,Interception,14,"Libarnes, Jaro",CB,1237,1,1495.223475,2.0,false,47.44,13.88,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-11-06T09:50:56+00:00
evt_0224,match_17_sbu_vs_sin,San Beda University,right,Pass,22,"Encaya, Pius",ST,1239,1,1496.404506,2.0,true,50.94,17.63,false,middle third,Successful,Short,Short,"Libarnes, Jaro",59.44,9,middle third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:51:12+00:00
evt_0225,match_17_sbu_vs_sin,San Beda University,right,Pass,14,"Libarnes, Jaro",CB,1243,1,1500.446708,4.0,true,54.44,5.63,false,middle third,Successful,Short,Short,"Aningalan, Jul",68.19,23.25,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:51:24+00:00
evt_0226,match_17_sbu_vs_sin,San Beda University,right,Pass,15,"Aningalan, Jul",CB,1247,1,1504.449868,4.0,true,70.69,16.5,false,defensive third,Successful,Short,Short,"Dilodilo, Austin",81.19,52.88,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:51:41+00:00
evt_0227,match_17_sbu_vs_sin,San Beda University,right,Pass,40,"Dilodilo, Austin",GK,1250,1,1507.742826,3.0,true,80.69,50.26,false,defensive third,Successful,Short,Short,"Digal, Diegocarl",78.44,78.39,defensive third,Lateral Pass,False,,true,,,,,,,,,2025-11-06T09:51:59+00:00
evt_0228,match_17_sbu_vs_sin,San Beda University,right,Pass,41,"Digal, Diegocarl",CB,1253,1,1511.144782,3.0,true,79.44,77.64,false,defensive third,Successful,Short,Short,"Salingay, Sam",63.44,74.64,defensive third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:52:19+00:00
evt_0229,match_17_sbu_vs_sin,San Beda University,right,Pass,23,"Salingay, Sam",ST,1256,1,1513.685338,3.0,true,60.19,67.51,false,defensive third,Successful,Short,Short,"Digal, Diegocarl",72.44,80.64,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:52:31+00:00
evt_0230,match_17_sbu_vs_sin,San Beda University,right,Pass,41,"Digal, Diegocarl",CB,1258,1,1515.710889,2.0,true,67.19,67.51,false,defensive third,Successful,Short,Short,"Dilodilo, Austin",80.19,57.01,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:52:42+00:00
evt_0231,match_17_sbu_vs_sin,San Beda University,right,Pass,40,"Dilodilo, Austin",GK,1261,1,1519.196935,3.0,true,81.44,57.38,false,defensive third,Successful,Short,Short,"Aningalan, Jul",68.94,19.13,defensive third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:52:56+00:00
evt_0232,match_17_sbu_vs_sin,San Beda University,right,Pass,15,"Aningalan, Jul",CB,1269,1,1526.774177,8.0,true,74.19,17.63,false,defensive third,Unsuccessful,Through Ball,Through Ball,,14.69,19.5,attacking third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:53:16+00:00
evt_0233,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,48,Unnamed,,1272,1,1529.706353,3.0,true,6.69,37.88,false,defensive third,Successful,Short,Short,Unnamed,15.69,39.76,defensive third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:53:30+00:00
evt_0234,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,58,Unnamed,,1276,1,1533.632603,4.0,true,20.69,39.01,false,defensive third,Successful,Short,Short,Unnamed,19.69,63.38,defensive third,Lateral Pass,False,,true,,,,,,,,,2025-11-06T09:53:43+00:00
evt_0235,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,53,Unnamed,,1280,1,1537.40785,4.0,true,19.44,60.76,false,defensive third,Successful,Short,Short,Unnamed,21.69,36.76,defensive third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:53:57+00:00
evt_0236,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,58,Unnamed,,1283,1,1541.289252,3.0,true,27.94,23.25,false,defensive third,Intercepted,Long,Long,"Aningalan, Jul",61.44,26.63,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:54:22+00:00
evt_0237,match_17_sbu_vs_sin,San Beda University,right,Interception,15,"Aningalan, Jul",CB,1286,1,1543.889565,3.0,false,66.94,22.13,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-11-06T09:55:12+00:00
evt_0238,match_17_sbu_vs_sin,Siniloan Blues,left,Throw In,49,Unnamed,,1292,1,1549.567686,6.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06T09:55:50+00:00
evt_0239,match_17_sbu_vs_sin,San Beda University,right,Interception,14,"Libarnes, Jaro",CB,1295,1,1552.666786,3.0,false,44.69,13.88,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-11-06T09:55:58+00:00
evt_0240,match_17_sbu_vs_sin,San Beda University,right,Pass,40,"Dilodilo, Austin",GK,1308,1,1565.537178,13.0,true,90.94,52.88,false,defensive third,Unsuccessful,Long,Long,,70.19,95.26,defensive third,Forward Pass,False,,true,,,,,,,,,2025-11-06T09:56:20+00:00
evt_0241,match_17_sbu_vs_sin,Siniloan Blues,left,Throw In,54,Unnamed,,1313,1,1570.339406,5.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06T09:56:31+00:00
evt_0242,match_17_sbu_vs_sin,Siniloan Blues,left,Dribble,55,Unnamed,,1315,1,1573.28989,2.0,true,64.94,67.51,true,middle third,Unsuccessful,,,,,,,,,,true,,,,,,,,,2025-11-06T09:56:44+00:00
evt_0243,match_17_sbu_vs_sin,Siniloan Blues,left,Throw In,54,Unnamed,,1327,1,1584.766042,12.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06T09:57:28+00:00
evt_0244,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,54,Unnamed,,1329,1,1586.773093,2.0,true,80.69,86.64,true,attacking third,Intercepted,Short,Short,"Barro, Harvy",76.69,56.63,attacking third,Back Pass,False,,true,,,,,,,,,2025-11-06T09:57:58+00:00
evt_0245,match_17_sbu_vs_sin,San Beda University,right,Clearance,19,"Tabelin, Kirvy",CAM,1332,1,1589.452405,3.0,false,67.44,54.76,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-11-06T10:00:40+00:00
evt_0246,match_17_sbu_vs_sin,Siniloan Blues,left,Dribble,55,Unnamed,,1337,1,1594.401682,5.0,true,60.94,72.01,true,middle third,Successful,,,,,,,,,,true,,,,,,,,,2025-11-06T10:00:55+00:00
evt_0247,match_17_sbu_vs_sin,San Beda University,right,Interception,18,"Pineda, Jaryl",CAM,1338,1,1595.840206,1.0,false,65.44,74.64,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-11-06T10:01:08+00:00
